Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       45     0.00     0.00  Citizen::Initial_Create(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00       45     0.00     0.00  std::_List_iterator<Citizen>::operator*() const
  0.00      0.00     0.00       45     0.00     0.00  std::_List_iterator<Citizen>::operator++()
  0.00      0.00     0.00       31     0.00     0.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      0.00     0.00       31     0.00     0.00  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00      0.00     0.00       31     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Range_chk::_S_chk(long, std::integral_constant<bool, true>)
  0.00      0.00     0.00       31     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::_Save_errno()
  0.00      0.00     0.00       31     0.00     0.00  __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::~_Save_errno()
  0.00      0.00     0.00       20     0.00     0.00  Authenticate const& std::forward<Authenticate const&>(std::remove_reference<Authenticate const&>::type&)
  0.00      0.00     0.00       14     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::__aligned_membuf<Authenticate>::_M_ptr()
  0.00      0.00     0.00       11     0.00     0.00  __gnu_cxx::__aligned_membuf<Authenticate>::_M_addr()
  0.00      0.00     0.00       11     0.00     0.00  std::_List_node<Authenticate>::_M_valptr()
  0.00      0.00     0.00       10     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::_M_get_Node_allocator()
  0.00      0.00     0.00        7     0.00     0.00  Authenticate::~Authenticate()
  0.00      0.00     0.00        7     0.00     0.00  std::_List_iterator<Authenticate>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00        6     0.00     0.00  Authenticate::Authenticate(Authenticate const&)
  0.00      0.00     0.00        6     0.00     0.00  std::__cxx11::list<Authenticate, std::allocator<Authenticate> >::end()
  0.00      0.00     0.00        5     0.00     0.00  Authenticate::create_account(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Authenticate> >::deallocate(std::_List_node<Authenticate>*, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<Authenticate> >::destroy<Authenticate>(Authenticate*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Authenticate> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00        5     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<Authenticate> >::construct<Authenticate, Authenticate const&>(Authenticate*, Authenticate const&)
  0.00      0.00     0.00        5     0.00     0.00  double __gnu_cxx::__stoa<double, double, char>(double (*)(char const*, char**), char const*, char const*, unsigned long*)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Authenticate> >::_M_max_size() const
  0.00      0.00     0.00        5     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<Authenticate> > >::__allocated_ptr(std::allocator<std::_List_node<Authenticate> >&, std::_List_node<Authenticate>*)
  0.00      0.00     0.00        5     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<Authenticate> > >::~__allocated_ptr()
  0.00      0.00     0.00        5     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<Authenticate> > >::operator=(decltype(nullptr))
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<Authenticate> > >::deallocate(std::allocator<std::_List_node<Authenticate> >&, std::_List_node<Authenticate>*, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<Authenticate> > >::destroy<Authenticate>(std::allocator<std::_List_node<Authenticate> >&, Authenticate*)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<Authenticate> > >::allocate(std::allocator<std::_List_node<Authenticate> >&, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<Authenticate> > >::construct<Authenticate, Authenticate const&>(std::allocator<std::_List_node<Authenticate> >&, Authenticate*, Authenticate const&)
  0.00      0.00     0.00        5     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::_M_get_node()
  0.00      0.00     0.00        5     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  std::__cxx11::_List_base<Authenticate, std::allocator<Authenticate> >::_M_put_node(std::_List_node<Authenticate>*)
  0.00      0.00     0.00        5     0.00     0.00  std::_List_node<Authenticate>* std::__cxx11::list<Authenticate, std::allocator<Authenticate> >::_M_create_node<Authenticate const&>(Authenticate const&)
  0.00      0.00     0.00        5     0.00     0.00  void std::__cxx11::list<Authenticate, std::allocator<Authenticate> >::_M_insert<Authenticate const&>(std::_List_iterator<Authenticate>, Authenticate const&)
  0.00      0.00     0.00        5     0.00     0.00  std::__cxx11::list<Authenticate, std::allocator<Authenticate> >::push_back(Authenticate const&)
  0.00      0.00     0.00        5     0.00     0.00  std::__cxx11::stod(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*)
  0.00      0.00     0.00        5     0.00     0.00  std::allocator<std::_List_node<Authenticate> >* std::__addressof<std::allocator<std::_List_node<Authenticate> > >(std::allocator<std::_List_node<Authenticate> >&)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__stoa<double, double, char>(double (*)(char const*, char**), char const*, char const*, unsigned long*)::_Range_chk::_S_chk(double, std::integral_constant<bool, false>)
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__stoa<double, double, char>(double (*)(char const*, char**), char const*, char const*, unsigned long*)::_Save_errno::_Save_errno()
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::__stoa<double, double, char>(double (*)(char const*, char**), char const*, char const*, unsigned long*)::_Save_errno::~_Save_errno()
  0.00      0.00     0.00        4     0.00     0.00  std::__cxx11::list<Citizen, std::allocator<Citizen> >::begin()
  0.00      0.00     0.00        4     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.00     0.00        3     0.00     0.00  int (*&&std::forward<int (*)()>(std::remove_reference<int (*)()>::type&))()
  0.00      0.00     0.00        2     0.00     0.00  check_name(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00        2     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00        2     0.00     0.00  Citizen::Citizen_Data_View()
  0.00      0.00     0.00        2     0.00     0.00  Citizen::Citizen()
